num,username,countrycode,pid,type,stockid,leverage,startbond,openprice,stoploss,direction,targetprofit,ordertype,fee,feeback,snapdeduct,appendamount,appendfee,simstatus,isOffsetFee,overnightfee,token
1,231722@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDczNyIsImV4cCI6MTYxNzYwODIxMywiaWF0IjoxNjE3MDAzNDEzfQ.R3TaimIkUdy3pJAszs5tiX8AtCo3tiTsxh8-j6U6k4M 10004737
2,231723@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDczOCIsImV4cCI6MTYxNzYwODIxNCwiaWF0IjoxNjE3MDAzNDE0fQ.-DNq9Mk4mWoRedg6v9lJldPCHecKVx9bZBCu81S_d6A 10004738
3,231724@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDczOSIsImV4cCI6MTYxNzYwODIxNCwiaWF0IjoxNjE3MDAzNDE0fQ.KJhwX01Nk4kcBRR5XbOjxQcPL4LPjxYUby6YhCH7p_E 10004739
4,231725@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0MCIsImV4cCI6MTYxNzYwODIxNSwiaWF0IjoxNjE3MDAzNDE1fQ.A5HJvEM6AgoLNOq8CWMLWtmZqHop8b_Jwq-fil9s1Po 10004740
5,231726@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0MSIsImV4cCI6MTYxNzYwODIxNSwiaWF0IjoxNjE3MDAzNDE1fQ.RtsTi-6vQHYfnL95g9rmCzx2S-LNpI_qX6ERrq4nmuE 10004741
6,231727@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0MiIsImV4cCI6MTYxNzYwODIxNiwiaWF0IjoxNjE3MDAzNDE2fQ.cNBECQhOqTY58GvtcyvLJH4K2iCAhkCPDPfxvJX4Gcc 10004742
7,231728@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0MyIsImV4cCI6MTYxNzYwODIxNiwiaWF0IjoxNjE3MDAzNDE2fQ.tefm-LS-H0Zy1eWKTCv5KmP-Mxaemy0tKmfR00ah3L0 10004743
8,231729@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0NCIsImV4cCI6MTYxNzYwODIxNywiaWF0IjoxNjE3MDAzNDE3fQ.CE9caSvqe2p-VfbWb7b_MsgnKMfejPqWd8OxHu-n71A 10004744
9,231730@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0NSIsImV4cCI6MTYxNzYwODIxOCwiaWF0IjoxNjE3MDAzNDE4fQ.-IhhG0EeS1uhe1nbLt9x1kK35LVpjhZl_U9eX9zV-lg 10004745
10,231731@qq.com,376,1,1,2,10,10,60000,57000,0,74850,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDAwNDc0NiIsImV4cCI6MTYxNzYwODIxOCwiaWF0IjoxNjE3MDAzNDE4fQ.Q85v2dciHmQU0egolfJLm3QV6M-e_S-5tHBk1kqxi04 10004746
