num,username,countrycode,pid,type,stockid,leverage,startbond,openprice,stoploss,direction,targetprofit,ordertype,fee,feeback,snapdeduct,appendamount,appendfee,simstatus,isOffsetFee,overnightfee,token
1,241001@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIzNiIsImV4cCI6MTYyNTAzNDM5NiwiaWF0IjoxNjI0NDI5NTk2fQ.NvflLPGHCxXfBma2iWGCFxNGJ_vENxF05HWpDpVzKmc
2,241002@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwMCIsImV4cCI6MTYyNTAzNDUwMCwiaWF0IjoxNjI0NDI5NzAwfQ.jx3ylGboJ0hawBsXfVzIbiQNf6WeJ5KoBhYifiQsV2Q
3,241003@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwMSIsImV4cCI6MTYyNTAzNDUwMSwiaWF0IjoxNjI0NDI5NzAxfQ.cn7dteMhr9IQVpIy3PWcJG8dF2IVd7VkzExMQfI6L6s
4,241004@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwMiIsImV4cCI6MTYyNTAzNDUwMiwiaWF0IjoxNjI0NDI5NzAyfQ.RvJYgVyMA8JFZrQQf9ieM954-TG_oyZbeE3SiXFi-Io
5,241005@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwMyIsImV4cCI6MTYyNTAzNDUwMiwiaWF0IjoxNjI0NDI5NzAyfQ.oPsWeyLGieLywXxdOetvW2h6b9VKTcsMuVFQJ1lj8E8
6,241006@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwNCIsImV4cCI6MTYyNTAzNDUwMiwiaWF0IjoxNjI0NDI5NzAyfQ.PNoEIKsTBwxW33azBl8-kaVgRhfUUePy0WvrOm2yxEc
7,241007@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwNSIsImV4cCI6MTYyNTAzNDUwMywiaWF0IjoxNjI0NDI5NzAzfQ.GMdwlSVuAk1ZNmdiJBUBVW-FlRFbpISVeFKvK9nIQUk
8,241008@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwNiIsImV4cCI6MTYyNTAzNDUwMywiaWF0IjoxNjI0NDI5NzAzfQ.raSAYpwSmeFdo3l33ZbI4_IEw_zEBfi4ARyWLMUOh3c
9,241009@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwNyIsImV4cCI6MTYyNTAzNDUwNCwiaWF0IjoxNjI0NDI5NzA0fQ.TGMn2sEuSBnbDNm95OxOcHja8uF2VbzuFuTdWwM9Usg
10,241010@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwOCIsImV4cCI6MTYyNTAzNDUwNSwiaWF0IjoxNjI0NDI5NzA1fQ.eM2y1nxaJNDnMlrHJIC90idO36NKHZrCQeTzZ9J53G4
11,241011@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIwOSIsImV4cCI6MTYyNTAzNDUwNSwiaWF0IjoxNjI0NDI5NzA1fQ.owfLZnGNGiTMc7KcL-CEwFL2Od_xZ5V3GilInVYIcGQ
12,241012@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIxMCIsImV4cCI6MTYyNTAzNDUwNiwiaWF0IjoxNjI0NDI5NzA2fQ.UuRCGh7kr_PyIxqlb8m9VYhdDSD4Kb3c--cIpRm0eWg
13,241013@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIxMSIsImV4cCI6MTYyNTAzNDUwNiwiaWF0IjoxNjI0NDI5NzA2fQ.yWT-KiA3HxeTFa1tcmeJ7HMDLJiArNHmUwzcVHrGPqw
14,241014@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIxMiIsImV4cCI6MTYyNTAzNDUwNiwiaWF0IjoxNjI0NDI5NzA2fQ.xoo6nNiES7EKBGJ1TGBPLdH9DaIGFn07MIo50rIX0wU
15,241015@qq.com,376,1,1,2,10,10,60000,31363.66,0,40909.13,fast,0.001,3,50,10,0.05,0,0,0.3,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMDU1NTIxMyIsImV4cCI6MTYyNTAzNDUwNywiaWF0IjoxNjI0NDI5NzA3fQ.15aRes3tdW7tbKxx0q_ACDHpu5tGNwtqPC5caURdnSw
